Id,Supermercado,Marca,Producto,Precio,Categoria,Enlace,Fecha,porMayor,ProductoNormalizado
0,Lider,Soprole,"Leche Entera Natural, 200 Ml",470,Leche Entera,https://www.lider.cl/supermercado/product/sku/4512350/soprole-leche-entera-natural-200-ml,2024-10-01,,200ml entera leche soprole
1,Lider,Soprole,"Leche Entera Natural, 200 Ml",470,Leche Entera,https://www.lider.cl/supermercado/product/sku/4512350/soprole-leche-entera-natural-200-ml,2024-10-06,,200ml entera leche soprole
2,Lider,Soprole,"Leche Entera Natural, 200 Ml",470,Leche Entera,https://www.lider.cl/supermercado/product/sku/4512350/soprole-leche-entera-natural-200-ml,2024-10-26,,200ml entera leche soprole
3,Lider,Soprole,"Leche Entera Natural, 200 Ml",470,Leche Entera,https://www.lider.cl/supermercado/product/sku/4512350/soprole-leche-entera-natural-200-ml,2024-11-02,,200ml entera leche soprole
4,Lider,Soprole,"Leche Entera Natural, 200 Ml",470,Leche Entera,https://www.lider.cl/supermercado/product/sku/4512350/soprole-leche-entera-natural-200-ml,2024-11-11,,200ml entera leche soprole
5,Lider,Costa,"Galleta Frac Clásica, 110 G",483,Frac,https://www.lider.cl/supermercado/product/sku/1411447/costa-galleta-frac-clasica-110-g,2024-10-01,,110g clasica costa frac galleta
6,Lider,Costa,"Galleta Frac Chocolate, 110 G",483,Frac,https://www.lider.cl/supermercado/product/sku/1411445/costa-galleta-frac-chocolate-110-g,2024-10-01,,110g chocolate costa frac galleta
7,Lider,Costa,"Galleta Frac Bi Frutilla, 110 G",483,Frac,https://www.lider.cl/supermercado/product/sku/5375/costa-galleta-frac-bi-frutilla-110-g,2024-10-01,,110g bi costa frac frutilla galleta
8,Lider,Costa,"Galletas Frac Naranja, 110 G",483,Frac,https://www.lider.cl/supermercado/product/sku/1158795/costa-galletas-frac-naranja-110-g,2024-10-01,,110g costa frac galletas naranja
9,Lider,Costa,"Galleta Frac Vainilla, 110 G",483,Frac,https://www.lider.cl/supermercado/product/sku/1411449/costa-galleta-frac-vainilla-110-g,2024-10-01,,110g costa frac galleta vainilla
10,Lider,Costa,"Galletas Frac Bi Capuccino, 110 G",483,Frac,https://www.lider.cl/supermercado/product/sku/5363/costa-galletas-frac-bi-capuccino-110-g,2024-10-01,,110g bi capuccino costa frac galletas
11,Santa Isabel,Soprole,Leche Soprole Entera Natural 200 Ml,485,Leche Entera,https://www.santaisabel.cl/leche-entera-soprole-200-ml-1843490/p,2024-10-26,,200ml entera leche soprole soprole
12,Santa Isabel,Soprole,Leche Soprole Entera Natural 200 Ml,485,Leche Entera,https://www.santaisabel.cl/leche-entera-soprole-200-ml-1843490/p,2024-10-06,,200ml entera leche soprole soprole
13,Santa Isabel,Soprole,Leche Soprole Entera Natural 200 Ml,485,Leche Entera,https://www.santaisabel.cl/leche-entera-soprole-200-ml-1843490/p,2024-10-01,,200ml entera leche soprole soprole
14,Jumbo,Soprole,Leche Soprole Entera Natural 200 Ml,489,Leche Entera,https://www.jumbo.cl/leche-entera-soprole-200-ml/p,2024-10-26,,200ml entera leche soprole soprole
15,Jumbo,Soprole,Leche Soprole Entera Natural 200 Ml,489,Leche Entera,https://www.jumbo.cl/leche-entera-soprole-200-ml/p,2024-10-06,,200ml entera leche soprole soprole
